appId,title,developer,score,ratings,reviews,installs,genre,url
bzn.quit.porn.addiction,Quitzen -Quit porn addiction,Verselingo Communications Limited,,,,189,Health & Fitness,https://play.google.com/store/apps/details?id=bzn.quit.porn.addiction&hl=en&gl=us
com.akshat8605.reboot,Unlust - Quit Porn Forever,Janki Studio,4.51,1389,8,31226,Health & Fitness,https://play.google.com/store/apps/details?id=com.akshat8605.reboot&hl=en&gl=us
com.keji.quittr,Quitter: Quit Porn Recovery,Urge Reset Labs,5,115,17,4179,Health & Fitness,https://play.google.com/store/apps/details?id=com.keji.quittr&hl=en&gl=us
com.applostudio.Unchaind,Unchaind: Quit Porn with Faith,Rocapine,4.7310987,33903,1175,189488,Health & Fitness,https://play.google.com/store/apps/details?id=com.applostudio.Unchaind&hl=en&gl=us
com.quittrapp.quittr_mobile_application_2,QUITTR - Quit Porn Now,QUITTR,4.485477,14515,244,445778,Health & Fitness,https://play.google.com/store/apps/details?id=com.quittrapp.quittr_mobile_application_2&hl=en&gl=us
app.trueally.TrueAlly,TrueAlly: Quit Porn for Life,TrueAlly,4.5,97,3,3550,Health & Fitness,https://play.google.com/store/apps/details?id=app.trueally.TrueAlly&hl=en&gl=us
com.filipangelov.Resolve,RESOLVE: Quit Porn Forever,Reclaimed Man,4.3267326,1251,15,20157,Health & Fitness,https://play.google.com/store/apps/details?id=com.filipangelov.Resolve&hl=en&gl=us
com.overcomer.app,Overcomer - Quit Porn Now,Overcomer App,4.7029705,2117,28,25167,Health & Fitness,https://play.google.com/store/apps/details?id=com.overcomer.app&hl=en&gl=us
com.neverfap.mobile,Neverfap: Quit Porn Addiction,Neverfap Mobil,,,,134,Health & Fitness,https://play.google.com/store/apps/details?id=com.neverfap.mobile&hl=en&gl=us
com.devstudio.still,Still : Gambling Recovery,Ayman Tajjiui,,,,31,Health & Fitness,https://play.google.com/store/apps/details?id=com.devstudio.still&hl=en&gl=us
app.getevive.production.evive_app,Evive: Gambling Support,"Evive, Inc.",4.7714286,93,14,3347,Lifestyle,https://play.google.com/store/apps/details?id=app.getevive.production.evive_app&hl=en&gl=us
com.boulevardlegacy.quitbet,QuitBet - Quit Gambling,Boulevard Legacy LLC,2.5,28,7,6490,Productivity,https://play.google.com/store/apps/details?id=com.boulevardlegacy.quitbet&hl=en&gl=us
mobile.betblocker,BetBlocker: Gambling Exclusion,BetBlocker,2.7272727,3488,47,272670,Parenting,https://play.google.com/store/apps/details?id=mobile.betblocker&hl=en&gl=us
com.kobyconradsunflower.cashedout,Quit Gambling: by Cashed Out,Sunflower Sober - Quit Tracker,,,,666,Health & Fitness,https://play.google.com/store/apps/details?id=com.kobyconradsunflower.cashedout&hl=en&gl=us
com.gamban.beanstalkhps.gambanapp,Block Online Gambling - Gamban,Gamban,4.37,4849,81,890627,Tools,https://play.google.com/store/apps/details?id=com.gamban.beanstalkhps.gambanapp&hl=en&gl=us
com.adrienblc.habitstracker,Habit Tracker - Habit Streak,BLANC DAHAMNI CAPITAL,4.267327,3646,38,134191,Productivity,https://play.google.com/store/apps/details?id=com.adrienblc.habitstracker&hl=en&gl=us
com.habitpixel.app,Habit Pixel: Streak Tracker,Hirvesh Munogee,4.47,809,172,72889,Productivity,https://play.google.com/store/apps/details?id=com.habitpixel.app&hl=en&gl=us
com.roehl.habitkit,Habit Tracker - HabitKit,Sebastian Röhl,4.696,11577,300,727529,Productivity,https://play.google.com/store/apps/details?id=com.roehl.habitkit&hl=en&gl=us
com.focusstreak.app,Focus Streak - Habit Tracker,CodeMadeBiz,,,,4402,Productivity,https://play.google.com/store/apps/details?id=com.focusstreak.app&hl=en&gl=us
app.gainaura.habits,Aura: Habit Tracker & Streaks,Must Have Apps.,4.6923075,360,4,16537,Productivity,https://play.google.com/store/apps/details?id=app.gainaura.habits&hl=en&gl=us
app.vinztech.tickit,Habit Tracker - TickOff,vinztech.app,4.57,3139,22,235822,Productivity,https://play.google.com/store/apps/details?id=app.vinztech.tickit&hl=en&gl=us
com.gohary.habitradar,Habit Tracker - Habit Radar,Goal Tracker,4.51,5450,39,185377,Productivity,https://play.google.com/store/apps/details?id=com.gohary.habitradar&hl=en&gl=us
com.studio.hellohabit,HelloHabit - Habit Tracker,"RightLife, Inc.",4.525346,6728,274,456756,Productivity,https://play.google.com/store/apps/details?id=com.studio.hellohabit&hl=en&gl=us
com.eShahid.habit_tracker.daily_habit.habits_daily_routine.daily_palnner,Habit Tracker: Streaks & Goals,Shahid eSoft,,,,5,Productivity,https://play.google.com/store/apps/details?id=com.eShahid.habit_tracker.daily_habit.habits_daily_routine.daily_palnner&hl=en&gl=us
com.executionhelper.habittick,HabitTick-Habit Tracker & Todo,AbhishekSaini98,4.375,912,2,87079,Productivity,https://play.google.com/store/apps/details?id=com.executionhelper.habittick&hl=en&gl=us
org.isoron.uhabits,Loop Habit Tracker,Álinson S Xavier,4.7275496,63089,3409,7776648,Productivity,https://play.google.com/store/apps/details?id=org.isoron.uhabits&hl=en&gl=us
com.smarttoolsdev.habittracker,Habit Tracker Daily Streak,SmartToolsDev,,,,25,Productivity,https://play.google.com/store/apps/details?id=com.smarttoolsdev.habittracker&hl=en&gl=us
xyz.thefor.habits.habits,TheFor: Habit Tracker,TheFor,4.17,3491,85,815386,Productivity,https://play.google.com/store/apps/details?id=xyz.thefor.habits.habits&hl=en&gl=us
