time,open,high,low,close
1738710000,6378,6387.5,6372,6373.25
1738724400,6373.25,6375.5,6363.5,6365.25
1738738800,6365.5,6374.5,6354.25,6365.75
1738753200,6365.75,6389.75,6365,6379
1738767600,6379.5,6413,6363.75,6408.5
1738782000,6408.25,6426.25,6407,6424
1738796400,6423.25,6430,6420.75,6427.75
1738810800,6427.75,6437.5,6426,6433.25
1738825200,6433.5,6439.25,6426.75,6429.25
1738839600,6429,6440.5,6420.25,6430.5
1738854000,6430.5,6438.25,6419.25,6429.75
1738868400,6429.5,6442.75,6404.25,6428.5
1738882800,6425.25,6442.5,6421.5,6440.75
1738897200,6440.75,6441.75,6428.25,6434.25
1738911600,6434.5,6441,6432.75,6438.25
1738926000,6438.25,6457.5,6421.75,6454.75
1738940400,6454.75,6454.75,6380.5,6387.25
1738954800,6387.5,6391.25,6375.5,6384.25
1739142000,6350.75,6404.25,6345.75,6397.75
1739156400,6398,6405.75,6396.25,6400
1739170800,6400,6410.25,6396.5,6409.25
1739185200,6409.25,6421.25,6402,6410
1739199600,6410,6428.75,6406.5,6425.75
1739214000,6425.75,6430.25,6417.25,6421.75
1739228400,6419.75,6421,6402.5,6404.25
1739242800,6404.25,6412,6402.5,6406.5
1739257200,6406.25,6411,6396.75,6400.25
1739271600,6400,6409.75,6392,6407
1739286000,6406.75,6427.25,6400.75,6420.25
1739300400,6420,6432.75,6418,6425
1739314800,6424.25,6431,6420.75,6426
1739329200,6426,6426.25,6419.5,6421.75
1739343600,6421.75,6426.25,6409.5,6420.75
1739358000,6421,6432.5,6355,6387
1739372400,6386.75,6419,6368.5,6405.5
1739386800,6405.5,6415.5,6398.5,6414
1739401200,6414,6420.75,6410.75,6417.5
1739415600,6417.75,6424.25,6417.25,6417.5
1739430000,6417.5,6418.5,6387.75,6407
1739444400,6407.25,6423.25,6397.5,6420.75
1739458800,6420.75,6447.75,6414.5,6444.75
1739473200,6444.75,6472.25,6443.25,6466.25
1739487600,6465.25,6479.25,6464.25,6477.75
1739502000,6477.75,6478.75,6473,6475.5
1739516400,6475.25,6481.25,6461.5,6463.25
1739530800,6463.25,6476,6455.5,6474
1739545200,6474.25,6479.5,6460,6474.5
1739559600,6474.5,6476.75,6463,6468
1739746800,6472.5,6476.25,6465.25,6476.25
1739761200,6476,6480.5,6474.5,6479.25
1739775600,6479.25,6479.25,6472.25,6478.5
1739790000,6478.5,6481.75,6470.5,6472.75
1739804400,6473,6481.25,6471.25,6479.75
1739833200,6479.75,6481,6471.25,6479
1739847600,6479.25,6488.5,6477.25,6488
1739862000,6488.25,6491.5,6478.75,6486.5
1739876400,6486.25,6492,6467.75,6470
1739890800,6470,6477.5,6461.75,6465.5
1739905200,6465.5,6483.75,6452.5,6478.5
1739919600,6478,6491,6478,6490.25
1739934000,6490.5,6491.25,6485.5,6486.25
1739948400,6486,6488.75,6473.25,6475.5
1739962800,6475.75,6480.25,6464.5,6467
1739977200,6467.25,6488.5,6462.5,6483.25
1739991600,6483.25,6500.5,6481.75,6489
1740006000,6488.5,6492.5,6479.5,6483.75
1740020400,6483.75,6484,6475.5,6478.75
1740034800,6478.75,6489.25,6476.25,6485.75
1740049200,6485.75,6486.75,6450,6451.25
1740063600,6451.25,6462.25,6437,6453
1740078000,6452.75,6474.25,6451.75,6467.25
1740092400,6467,6474,6465.5,6469.25
1740106800,6469.5,6470,6462.5,6469.25
1740121200,6469.5,6473,6461.5,6472.25
1740135600,6472.5,6476.75,6447.25,6449
1740150000,6449.5,6451,6379.75,6381.75
1740164400,6381.75,6387.75,6359,6364
1740351600,6373.5,6393.5,6368,6391
1740366000,6391,6397.75,6390,6394
1740380400,6394.25,6401.75,6375.75,6393.25
1740394800,6393.25,6397.25,6350,6351.25
1740409200,6351.5,6382.5,6328.5,6370.5
1740423600,6370.25,6378.5,6330.25,6339.75
1740438000,6342,6349.75,6329.25,6348.25
1740452400,6348.5,6350.25,6337.5,6339.75
1740466800,6339.75,6340.25,6312.75,6314.75
1740481200,6314.75,6345,6305.25,6315.25
1740495600,6315.25,6324.75,6258.25,6310
1740510000,6310,6329.75,6292.75,6313.75
1740524400,6317.25,6323.25,6312,6321
1740538800,6321,6329.25,6320,6327.5
1740553200,6327.5,6336.5,6324,6334.75
1740567600,6334.75,6339.75,6312.5,6339
1740582000,6339,6358,6282.75,6287
1740596400,6287,6331.75,6279.75,6324.5
1740610800,6315.75,6318.25,6295,6309.75
1740625200,6309.75,6330.75,6304.5,6328
1740639600,6328,6342.75,6324.25,6339
1740654000,6339.25,6348.75,6282.25,6285
1740668400,6285.25,6326,6265.5,6297.75
1740682800,6297.75,6299.25,6207,6215.5
1740697200,6219.25,6224.25,6193.75,6204.5
1740711600,6204.75,6219.75,6193,6210
1740726000,6210,6233.25,6203.75,6229.25
1740740400,6229.25,6234.75,6191.25,6218.5
1740754800,6218.25,6248.5,6182,6194
1740769200,6193.75,6305.5,6193,6292
1740956400,6301.75,6318.75,6281.5,6298.5
1740970800,6298.5,6316.5,6291.5,6313.5
1740985200,6313.75,6317.75,6290,6316.25
1740999600,6316.25,6334.75,6282,6287.5
1741014000,6286,6308.75,6231.5,6249
1741028400,6248.75,6263.75,6156,6209.25
1741042800,6209.25,6216.25,6193.75,6205.25
1741057200,6205.25,6218.5,6193.25,6212.25
1741071600,6212.5,6213.5,6183,6190
1741086000,6189.75,6195,6112.25,6113.25
1741100400,6113.25,6164.5,6075.75,6158.75
1741114800,6158.5,6210,6102.75,6159.5
1741129200,6166,6172.25,6142,6148.25
1741143600,6148.5,6168,6143.25,6160.25
1741158000,6160,6178.5,6151.5,6157.5
1741172400,6158,6159.5,6104.5,6113.5
1741186800,6113.75,6170.5,6085,6169.25
1741201200,6169.25,6204,6163,6179.75
1741215600,6179.75,6188,6172.25,6175
1741230000,6175,6184.75,6172.75,6182.5
1741244400,6182.75,6185,6113.5,6116
1741258800,6115.75,6132,6087.25,6097.75
1741273200,6097.75,6155.5,6057.25,6074.25
1741287600,6074.25,6106.5,6054.25,6095.5
1741302000,6099.5,6108.75,6090.75,6102.5
1741316400,6102.75,6103.5,6084.25,6086.5
1741330800,6086.25,6107.25,6084.75,6097.25
1741345200,6097.75,6121,6055.25,6090.75
1741359600,6090.75,6104.25,6007.25,6103.75
1741374000,6104,6125.5,6079.25,6106.75
1741546800,6088,6089,6057.25,6062
1741561200,6062.25,6089.75,6044.5,6086.75
1741575600,6086.5,6091.5,6075.5,6082.25
1741590000,6082.5,6088.25,6036.5,6043
1741604400,6043.25,6057.25,5980.5,5989.5
1741618800,5989.25,6016.25,5920.75,5923
1741633200,5922.75,5975.25,5905.5,5945.5
1741647600,5945.5,5955,5892,5948
1741662000,5947.5,5973.25,5947.5,5964.25
1741676400,5964,5981.25,5950,5973.75
1741690800,5973.75,5985.75,5889.25,5896.75
1741705200,5896.75,5977.75,5868.75,5964.25
1741719600,5964.5,5975.75,5907,5925.75
1741734000,5926,5933,5916.5,5925
1741748400,5925.25,5932,5913,5916.5
1741762800,5916.5,5951.5,5911.75,5948
1741777200,5947.75,6008.75,5902.5,5904
1741791600,5903.75,5967.25,5884.5,5960.5
1741806000,5960,5960.25,5929,5943.25
1741820400,5943.5,5957.25,5936.75,5937.5
1741834800,5937.5,5938,5897.25,5916.25
1741849200,5916.25,5944,5893.5,5934
1741863600,5934,5939.25,5890.5,5907
1741878000,5907,5916.75,5843.5,5886.25
1741892400,5886,5893,5848.25,5886.75
1741906800,5886.75,5904,5881.5,5902.5
1741921200,5902.5,5907,5890.5,5897.25
1741935600,5897,5913.25,5887.25,5907.5
1741950000,5907.5,5948,5897.75,5948
1741964400,5947.75,5973,5944.25,5962.75
1741978800,5962.75,5983.25,5955.75,5963.75
1742151600,5961.25,5966.5,5938.5,5941.25
1742166000,5941.5,5952.25,5936.5,5945
1742180400,5944.75,5947.25,5935.25,5939.75
1742194800,5940,5963,5933.25,5961.75
1742209200,5961.5,6008,5941.75,5984.25
1742223600,5984.25,6042,5972,6036.5
1742238000,6036.25,6037.75,6008,6019.25
1742252400,6019,6019.5,5998,6000.75
1742266800,6000.5,6002.5,5989.5,6001
1742281200,6001.25,6017.5,5986.75,6001.5
1742295600,6001.75,6006.75,5943.5,5949.75
1742310000,5950,5964.25,5932.75,5956
1742324400,5955.75,5960.5,5940.75,5952.5
1742338800,5952.25,5971.25,5948.75,5961.25
1742353200,5961.5,5964.5,5952.75,5957.75
1742367600,5957.75,5969.5,5939.25,5964.5
1742382000,5964.25,5995.5,5957,5976.75
